1,12345678,01/01/2023,10/01/2023
2,87654321,05/01/2023,15/01/2023
3,11223344,07/01/2023,17/01/2023
4,44332211,09/01/2023,19/01/2023
5,55667788,12/01/2023,22/01/2023
6,88776655,15/01/2023,25/01/2023
7,99887766,17/01/2023,27/01/2023
8,66778899,20/01/2023,30/01/2023
9,77889900,22/01/2023,01/02/2023
10,88990011,25/01/2023,04/02/2023
11,11224455,28/01/2023,07/02/2023
12,55443322,30/01/2023,09/02/2023
13,33445566,01/02/2023,11/02/2023
14,66554433,03/02/2023,13/02/2023
15,99882211,05/02/2023,15/02/2023
16,22113344,07/02/2023,17/02/2023
17,44335577,10/02/2023,20/02/2023
18,33447788,12/02/2023,22/02/2023
19,55668899,15/02/2023,25/02/2023
20,22331144,18/02/2023,28/02/2023
